クラブ,年,所属,id,呼称,ライセンス,順位,勝ち点,PPG,昇降格,営業収入,営業費用,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,総資産,流動資産,固定資産等,総負債,流動負債,固定負債,純資産,資本金,資本剰余金等,利益剰余金,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,事業費,販売費および一般管理費,総入場者数,ホーム総試合数,リーグ平均入場者数,客単価,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数
浦和,2012,J1,urawa,浦和レッズ,J1,3,55,1.6176,,5353,5202,150,7,5,152,0,0,152,1,151,,1129,303,826,602,528,74,527,160,0,367,2121,1988,267,18,,959,1910,449,412,101,65,,,2265,676303,20,36634,2940,622772,17,53531,3,0,0,0,0,,
柏,2012,J1,reysol,柏レイソル,J1,6,52,1.5294,,3551,3527,24,13,33,4,0,0,4,-6,10,,2456,214,2242,1462,1453,9,994,100,932,-38,1989,576,234,74,,678,2047,174,225,38,0,,,1043,279555,22,13768,2060,234064,17,20437,2,0,0,25054,3,,
FC東京,2012,J1,fctokyo,FC東京,J1,10,48,1.4118,,3865,3622,243,40,4,279,0,0,279,134,145,,1870,1509,361,541,541,0,1329,1064,0,265,1385,817,227,419,,1017,1574,427,337,245,0,,,1039,460302,22,23955,1775,407243,17,20920,2,0,0,32139,3,,
川崎,2012,J1,kawasaki,川崎フロンターレ,J1,8,50,1.4706,,3073,3005,68,2,1,69,0,0,69,36,33,,988,890,98,374,334,40,614,349,31,234,1373,558,214,158,,770,1428,179,235,73,0,,,1090,332483,20,17807,1678,302719,17,29764,3,0,0,0,0,,
横浜FM,2012,J1,fmarinos,横浜F・マリノス,J1,4,53,1.5588,,3717,4217,-500,12,10,-499,0,130,-628,0,-629,,491,480,11,2168,2017,151,-1677,31,0,-1708,1364,783,220,458,,892,1601,331,442,315,0,,,1528,412264,20,22946,1899,390078,17,22186,3,0,0,0,0,,
清水,2012,J1,shimizu,清水エスパルス,J1,9,49,1.4412,,3449,3324,124,37,4,157,0,0,157,27,129,,1098,411,687,561,344,217,537,550,0,-13,1223,623,237,315,,1051,1281,248,215,136,0,,,1444,302756,22,15121,2058,257054,17,45702,5,0,0,0,0,,
名古屋,2012,J1,nagoya,名古屋グランパス,J1,7,52,1.5294,,3993,4287,-295,27,18,-286,0,0,-286,-29,-257,,969,626,343,876,719,157,93,400,0,-307,2145,799,226,275,,548,2009,319,488,208,0,,,1263,316674,21,17155,2523,291632,17,7313,1,0,0,17729,3,,
G大阪,2012,J1,gamba,ガンバ大阪,J1,17,38,1.1176,降格,3285,3352,-67,35,-36,4,0,0,4,0,4,,972,493,479,740,692,48,232,10,0,222,1840,529,232,123,,561,1707,321,267,102,0,,,955,280810,21,14778,1884,251232,17,7083,1,0,0,22495,3,,
C大阪,2012,J1,cerezo,セレッソ大阪,J1,14,42,1.2353,,2618,2546,72,1,4,69,0,6,63,0,63,,722,440,282,543,471,72,179,315,0,-136,1120,495,228,0,,775,969,290,538,0,0,,,749,317611,21,16913,1559,287524,17,30087,4,0,0,0,0,,
神戸,2012,J1,vissel,ヴィッセル神戸,J1,16,39,1.1471,降格,2250,2364,-114,18,14,-110,0,185,-295,1,-296,,788,536,252,2040,350,1690,-1252,98,561,-1911,742,454,202,225,,627,1157,176,264,107,0,,,660,261743,20,14638,1735,248853,17,12890,3,0,0,0,0,,
広島,2012,J1,sanfrecce,サンフレッチェ広島,J1,1,64,1.8824,,3176,2949,227,11,13,225,0,0,225,2,223,,1203,922,281,708,461,247,495,220,52,223,1406,551,239,100,,880,1412,239,254,132,0,,,912,325028,20,17721,1695,301249,17,23779,3,0,0,0,0,,
鳥栖,2012,J1,sagan,サガン鳥栖,J1,5,53,1.5588,,1454,1362,93,41,9,125,0,35,90,0,90,,441,379,62,349,312,37,92,605,454,-967,493,495,202,45,,219,610,116,75,20,0,,,541,220383,20,11991,2246,203844,17,16539,3,0,0,0,0,,
大宮,2012,J1,ardija,大宮アルディージャ,J1,13,44,1.2941,,3344,3348,-4,12,7,1,0,0,1,1,0,,1505,414,1091,1494,853,641,11,100,240,-329,2172,329,208,143,,492,1787,288,387,59,0,,,827,197239,20,10637,1668,180831,17,16408,3,0,0,0,0,,
新潟,2012,J1,albirex,アルビレックス新潟,J1,15,40,1.1765,,2405,2450,-45,134,10,79,0,0,79,35,44,,970,605,365,545,482,63,425,712,0,-287,941,661,220,137,,446,940,281,282,122,34,,,791,451117,20,25018,1465,425309,17,25808,3,0,0,0,0,,
磐田,2012,J1,jubilo,ジュビロ磐田,J1,12,46,1.3529,,3391,3174,217,24,5,236,0,0,236,66,170,,1340,885,455,648,580,68,692,679,0,13,1674,403,233,149,,932,1437,309,253,162,0,,,1013,245303,20,13122,1643,223071,17,22232,3,0,0,0,0,,
横浜FC,2012,J2,yokohamafc,横浜FC,J1,4,73,1.7381,,1054,1048,6,0,4,2,0,0,2,0,2,,304,162,142,275,148,127,29,344,115,-430,576,208,102,40,,128,490,85,110,61,0,,,302,137404,22,6039,1514,126810,21,0,0,10594,1,0,0,,
湘南,2012,J2,bellmare,湘南ベルマーレ,J1,2,75,1.7857,昇格,869,873,-4,12,4,4,0,0,4,0,4,,302,206,96,270,205,65,32,630,261,-859,330,203,89,0,,247,366,67,75,0,0,,,365,143887,21,6852,1411,143887,21,0,0,0,0,0,0,,
徳島,2012,J2,vortis,徳島ヴォルティス,J1,15,51,1.2143,,1050,976,74,19,1,91,0,1,90,39,52,,648,501,147,140,117,23,508,409,0,99,709,84,89,49,,121,489,52,132,18,0,,,285,83808,21,3991,1002,83808,21,0,0,0,0,0,0,,
福岡,2012,J2,avispa,アビスパ福岡,J1,18,41,0.9762,,854,1015,-161,14,10,-157,0,0,-157,1,-158,,415,141,274,355,283,72,60,126,196,-262,301,170,95,172,,116,411,86,155,63,0,,,300,117309,21,5586,1449,117309,21,0,0,0,0,0,0,,
大分,2012,J2,trinita,大分トリニータ,J1,6,71,1.6905,昇格,986,883,103,13,9,107,224,0,331,1,330,,205,146,59,792,473,319,-587,469,68,-1124,452,285,83,53,,113,298,67,123,71,3,,,321,204134,21,9721,1396,204134,21,0,0,0,0,0,0,,
山形,2012,J2,montedio,モンテディオ山形,J1,10,61,1.4524,,1047,982,65,0,0,65,0,0,65,0,65,,131,116,15,117,117,0,14,0,0,0,253,223,95,57,,419,459,77,109,68,0,,,269,154459,21,7355,1444,154459,21,0,0,0,0,0,0,,
水戸,2012,J2,mitohollyhock,水戸ホーリーホック,J2,13,56,1.3333,,483,479,4,1,1,4,25,1,28,0,28,,168,142,26,112,87,25,56,80,103,-127,169,82,90,35,,107,205,30,68,11,0,,,165,83431,21,3973,983,83431,21,0,0,0,0,0,0,,
栃木,2012,J2,tochigisc,栃木SC,J1,11,60,1.4286,,791,907,-116,2,1,-115,0,0,-115,1,-116,,159,119,40,215,211,4,-56,285,85,-426,418,131,96,29,,118,338,92,143,30,0,,,303,80859,21,3850,1620,80859,21,0,0,0,0,0,0,,
草津,2012,J2,thespa,ザスパクサツ群馬,J2,17,47,1.119,,496,536,-40,12,3,-31,1,2,-32,1,-33,,110,100,10,197,197,0,-87,208,53,-348,226,80,87,6,,97,184,54,91,24,0,,,183,70159,21,3341,1140,70159,21,0,0,0,0,0,0,,
千葉,2012,J2,jefunited,ジェフユナイテッド千葉,J1,5,72,1.7143,,2408,2232,176,4,10,170,0,32,138,0,138,,1361,364,997,919,513,406,442,490,390,-438,1617,341,110,53,,287,1038,147,230,53,69,,,696,194893,21,9281,1750,194893,21,0,0,0,0,0,0,,
東京V,2012,J2,verdy,東京ヴェルディ,J1,7,66,1.5714,,1470,1463,7,0,2,5,0,0,5,0,5,,393,361,32,361,299,62,32,252,213,-433,548,170,87,134,,531,369,284,290,59,29,,,432,112158,21,5341,1516,112158,21,0,0,0,0,0,0,,
町田,2012,J2,zelvia,FC町田ゼルビア,J2,22,32,0.7619,降格,493,476,17,1,2,16,0,0,16,1,15,,170,134,36,152,78,74,18,142,95,-219,202,69,95,24,,103,152,84,63,0,0,,,177,76169,21,3627,906,76169,21,0,0,0,0,0,0,,
甲府,2012,J2,ventforet,ヴァンフォーレ甲府,J1,1,86,2.0476,昇格,1179,1148,31,15,9,37,0,0,37,22,15,,606,406,200,314,285,29,292,367,0,-75,554,291,103,26,,205,476,66,170,18,0,,,418,218539,21,10407,1332,218539,21,0,0,0,0,0,0,,
松本,2012,J2,yamaga,松本山雅FC,J1,12,59,1.4048,,893,827,66,4,0,70,0,0,70,31,39,,221,201,20,56,55,1,165,128,0,37,368,188,118,0,,219,284,83,120,0,0,,,339,200143,21,9531,939,200143,21,0,0,0,0,0,0,,
京都,2012,J2,sanga,京都サンガF.C.,J1,3,74,1.7619,,2039,1521,518,13,166,365,0,8,357,60,297,,1314,1199,115,992,765,227,322,3605,0,-3283,1354,250,89,129,,217,591,134,166,126,0,,,504,163492,22,7273,1529,152732,21,0,0,10760,1,0,0,,
岡山,2012,J2,fagiano,ファジアーノ岡山,J1,8,65,1.5476,,878,848,30,0,4,26,0,0,26,0,26,,351,326,25,259,256,3,92,98,36,-42,415,141,93,48,,181,389,67,75,20,0,,,297,167691,21,7985,841,167691,21,0,0,0,0,0,0,,
愛媛,2012,J2,ehimefc,愛媛FC,J2,16,50,1.1905,,504,546,-42,2,1,-41,0,2,-43,0,-43,,165,109,56,25,25,0,140,209,0,-69,198,51,114,42,,99,253,27,95,27,0,,,144,76201,21,3629,669,76201,21,0,0,0,0,0,0,,
北九州,2012,J2,giravanz,ギラヴァンツ北九州,J2,9,64,1.5238,,682,675,7,0,2,5,0,3,2,0,2,,143,105,38,173,124,49,-30,147,0,-177,252,98,86,44,,202,259,44,102,18,0,,,252,70274,21,3346,1395,70274,21,0,0,0,0,0,0,,
仙台,2013,J1,vegalta,ベガルタ仙台,J1,13,45,1.3235,,2429,2431,-2,30,1,27,0,0,27,18,9,,1208,630,578,527,180,347,681,454,0,227,901,757,225,88,,458,1169,144,189,68,56,,,805,294222,21,14866,2573,252725,17,11176,1,0,0,30321,3,,
鹿島,2013,J1,antlers,鹿島アントラーズ,J1,5,59,1.7353,,4122,4081,41,47,2,86,0,0,86,8,78,,2139,925,1214,549,455,94,1590,1570,147,-127,1864,748,235,269,,1006,1701,384,310,166,0,,,1520,313498,21,16419,2386,279115,17,34383,4,0,0,0,0,,
浦和,2013,J1,urawa,浦和レッズ,J1,6,58,1.7059,,5786,5633,153,12,3,161,0,0,161,69,92,,1279,562,717,659,574,86,620,160,0,460,2319,2132,258,15,,1062,2016,497,434,102,62,,,2522,745579,22,37100,2860,630701,17,49940,2,0,0,64938,3,,
柏,2013,J1,reysol,柏レイソル,J1,10,48,1.4118,,3412,3380,32,16,35,13,0,0,13,10,3,,2238,182,2056,1241,1232,9,997,100,932,-35,1947,646,204,71,,544,2118,198,266,40,0,,,758,283665,25,12553,2277,213406,17,18307,2,0,0,51952,6,,
FC東京,2013,J1,fctokyo,FC東京,J1,8,54,1.5882,,3545,3482,63,29,3,89,0,0,89,22,67,,1957,1839,118,560,560,0,1397,1065,0,332,1422,788,206,422,,707,1637,373,284,255,0,,,933,459909,20,25073,1713,426246,17,33663,3,0,0,0,0,,
川崎,2013,J1,kawasaki,川崎フロンターレ,J1,3,60,1.7647,,3214,3170,44,2,0,46,0,0,46,25,21,,1241,807,434,607,495,112,635,349,31,255,1702,540,218,164,,590,1557,174,262,75,0,,,1102,336894,22,16644,1603,282952,17,53942,5,0,0,0,0,,
横浜FM,2013,J1,fmarinos,横浜F・マリノス,J1,2,62,1.8235,,4315,4306,9,3,12,0,1000,0,1000,0,1000,,1778,1711,67,2456,2301,155,-677,31,0,-708,1513,1069,228,455,,1048,1701,341,443,314,0,,,1506,518049,22,27496,2064,467425,17,50624,5,0,0,0,0,,
湘南,2013,J1,bellmare,湘南ベルマーレ,J1,16,25,0.7353,降格,1191,1211,-20,12,3,-11,0,0,-11,0,-11,,338,248,90,318,259,59,20,630,260,-870,387,263,191,0,,350,530,82,98,0,0,,,501,185265,20,9911,1420,168481,17,16784,3,0,0,0,0,,
清水,2013,J1,shimizu,清水エスパルス,J1,9,50,1.4706,,3084,3140,-56,19,2,-39,0,0,-39,1,-40,,1041,333,707,544,380,163,496,550,0,-53,1219,523,225,319,,798,1251,208,228,197,0,,,1256,262778,20,14137,1990,240324,17,22454,3,0,0,0,0,,
名古屋,2013,J1,nagoya,名古屋グランパス,J1,11,47,1.3824,,4226,4304,-78,24,4,-58,0,0,-58,20,-78,,589,254,335,575,403,172,14,400,0,-386,2457,736,221,258,,555,2348,283,448,191,0,,,1034,291036,20,16135,2529,274297,17,16739,3,0,0,0,0,,
C大阪,2013,J1,cerezo,セレッソ大阪,J1,4,59,1.7353,,3213,3201,12,0,4,8,0,0,8,2,6,,784,470,314,599,539,60,185,315,0,-130,1499,954,220,0,,540,1212,464,652,0,0,,,873,361103,21,18819,2642,319928,17,41175,4,0,0,0,0,,
広島,2013,J1,sanfrecce,サンフレッチェ広島,J1,1,63,1.8529,,3198,3072,126,26,5,147,0,0,147,17,130,,1134,851,283,509,455,54,625,220,52,353,1373,541,232,99,,953,1449,263,279,126,0,,,954,302674,21,16209,1787,275556,17,9427,1,0,0,17691,3,,
鳥栖,2013,J1,sagan,サガン鳥栖,J1,12,46,1.3529,,1704,2039,-335,38,0,-297,0,0,-297,2,-299,,217,159,58,425,403,22,-207,605,454,-1266,632,548,234,74,,216,1012,273,129,23,0,,,602,218326,20,12026,2510,204438,17,13888,3,0,0,0,0,,
大分,2013,J1,trinita,大分トリニータ,J1,18,14,0.4118,降格,1406,1191,215,13,6,222,0,1,221,0,221,,241,186,55,606,375,231,-364,2,0,-366,680,370,202,48,,106,556,75,144,70,2,,,344,218700,20,11915,1692,202557,17,16143,3,0,0,0,0,,
大宮,2013,J1,ardija,大宮アルディージャ,J1,14,45,1.3235,,3228,3226,2,9,10,1,0,0,1,1,0,,1236,324,912,1225,587,638,11,100,240,-329,2296,341,214,142,,235,1606,226,472,68,0,,,854,204189,20,11138,1670,189342,17,14847,3,0,0,0,0,,
